,id,Name,Birth Date,Country of Origin,Hat,Hat Brand,Hat Colour,Glasses,Glasses Brand,Glasses Colour,Shirt,Shirt brand,Shirt colour,Jeans,Jeans brand,Jeans colour,Bag,Bag Brand,Bag Colour,Cane,Shoes,Shoes Brand,Shoes colour
230,231,Winston,12/09/1987,Australia,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
231,232,Whitney,30/05/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
232,233,Winona,21/03/1987,Brazil,Bobble hat,Patagonia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Puma,Brown
233,234,Whitley,15/01/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Vans,Brown
234,235,Whitley,01/04/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
235,236,Winifred,16/11/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
236,237,Walter,11/02/1987,China,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
237,238,Wanda,17/10/1987,France,Bobble hat,Barts,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Vans,Brown
238,239,Wanda,05/04/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
239,240,Wayne,10/02/1987,Canada,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Puma,Brown
240,241,William,05/01/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Nike,Brown
241,242,Wallace,25/11/1987,United Kingdom,Bobble hat,Columbia,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
242,243,Wayne,09/04/1987,Japan,Bobble hat,Beanie Babies,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
243,244,Winona,18/04/1987,Australia,Bobble hat,UGG,Red and white,Round Glasses,Prada,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
244,245,Wilhelm,26/04/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
245,246,Wesley,26/11/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Adidas,Brown
246,247,Winifred,13/01/1987,Brazil,Bobble hat,UGG,Red and white,Round Glasses,Prada,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Vans,Brown
247,248,Wanda,16/05/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Vans,Brown
248,249,Winifred,03/10/1987,Japan,Bobble hat,Columbia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
249,250,Wyatt,15/11/1987,Germany,Bobble hat,Beanie Babies,Red and white,Round Glasses,Prada,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
250,251,Wanda,08/06/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
251,252,Wendy,09/03/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
252,253,Winona,16/02/1987,China,Bobble hat,Woolrich,Red and white,Round Glasses,Prada,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
253,254,Wesley,17/10/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Adidas,Brown
254,255,Whitley,20/11/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
255,256,Wendy,11/03/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Converse,Brown
256,257,Wendy,04/12/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
257,258,Winona,27/02/1987,Canada,Bobble hat,Beanie Babies,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
258,259,William,03/08/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
259,260,William,02/06/1987,Germany,Bobble hat,Columbia,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
260,261,Winona,01/07/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
261,262,Winston,03/06/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
262,263,Winona,28/09/1987,Australia,Bobble hat,Canada Goose,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
263,264,Whitley,21/02/1987,France,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
264,265,Wesley,29/07/1987,Germany,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Adidas,Brown
265,266,Wilhelm,11/09/1987,Canada,Bobble hat,The North Face,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
266,267,Winona,10/12/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Vans,Brown
267,268,Wilhelm,14/05/1987,United Kingdom,Bobble hat,Carhartt,Red and white,Round Glasses,Oakley,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Nike,Brown
268,269,Wyatt,03/07/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
269,270,Wilhelm,23/11/1987,Japan,Bobble hat,UGG,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
270,271,Wesley,11/06/1987,India,Bobble hat,Fjällräven,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
271,272,Wanda,09/05/1987,Germany,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Puma,Brown
272,273,Whitley,04/03/1987,China,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
273,274,Whitley,19/06/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Versace,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Nike,Brown
274,275,Wendy,27/09/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Versace,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Under Armour,Brown
275,276,Winona,11/07/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Adidas,Brown
276,277,Whitley,19/03/1987,Japan,Bobble hat,UGG,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Fendi,Brown,Wood,Casual Shoes,Jordan,Brown
277,278,Wanda,21/02/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
278,279,Wesley,26/02/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
279,280,Wallace,03/12/1987,France,Bobble hat,Woolrich,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
280,281,Whitley,29/08/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Burberry,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
281,282,Whitley,20/05/1987,Brazil,Bobble hat,Columbia,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
282,283,Whitley,20/08/1987,Canada,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Puma,Brown
283,284,Wendy,16/08/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Vans,Brown
284,285,Wallace,18/02/1987,India,Bobble hat,Beanie Babies,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Adidas,Brown
285,286,Walter,25/06/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
286,287,Winona,24/11/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
287,288,Winona,04/09/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Fendi,Brown,Wood,Casual Shoes,Vans,Brown
288,289,Wanda,13/10/1987,France,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
289,290,Wanda,06/01/1987,Germany,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
290,291,Wendy,27/04/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
291,292,Winston,11/03/1987,Canada,Bobble hat,Columbia,Red and white,Round Glasses,Burberry,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Jordan,Brown
292,293,Walter,05/09/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
293,294,Winona,24/02/1987,China,Bobble hat,Carhartt,Red and white,Round Glasses,Versace,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Puma,Brown
294,295,Wendy,06/10/1987,Germany,Bobble hat,Beanie Babies,Red and white,Round Glasses,Oakley,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Jordan,Brown
295,296,Wendy,16/11/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Nike,Brown
296,297,Whitley,06/11/1987,Japan,Bobble hat,Columbia,Red and white,Round Glasses,Chanel,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Nike,Brown
297,298,Whitley,13/04/1987,Canada,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Nike,Brown
298,299,Winifred,19/08/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
299,300,Winifred,13/08/1987,Australia,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
300,301,Wendy,07/07/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
301,302,Whitley,11/07/1987,United Kingdom,Bobble hat,UGG,Red and white,Round Glasses,Prada,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
302,303,Winifred,21/01/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Adidas,Brown
303,304,Winston,18/09/1987,Japan,Bobble hat,Patagonia,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Reebok,Brown
304,305,Wendy,05/10/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Adidas,Brown
305,306,Wallace,21/04/1987,United Kingdom,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
306,307,Wanda,16/12/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Oakley,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
307,308,Whitley,17/02/1987,China,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
308,309,Wyatt,22/11/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
309,310,Walter,11/01/1987,Canada,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Jordan,Brown
310,311,Wendy,05/02/1987,China,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Reebok,Brown
311,312,Walter,29/06/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
312,313,Wendy,27/02/1987,Germany,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
313,314,Wanda,09/08/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Versace,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
314,315,Wendy,27/03/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
315,316,Whitley,29/04/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
316,317,Wesley,17/12/1987,Brazil,Bobble hat,Barts,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
317,318,Wesley,19/06/1987,Germany,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
318,319,Wendy,26/01/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Jordan,Brown
319,320,Wyatt,10/03/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
320,321,Wilhelm,28/05/1987,Australia,Bobble hat,Fjällräven,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
321,322,Wanda,23/07/1987,Australia,Bobble hat,Fjällräven,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Adidas,Brown
322,323,Whitley,12/09/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Reebok,Brown
323,324,Wilhelm,23/06/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Jordan,Brown
324,325,Wendy,29/07/1987,Australia,Bobble hat,Barts,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,New Balance,Brown
325,326,Wyatt,15/04/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
326,327,Wayne,30/06/1987,Brazil,Bobble hat,UGG,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
327,328,Wendy,21/09/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Adidas,Brown
328,329,Winona,17/06/1987,Australia,Bobble hat,Patagonia,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Puma,Brown
329,330,Winona,26/08/1987,Brazil,Bobble hat,Patagonia,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
330,331,Wren,27/03/1987,China,Bobble hat,Barts,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Adidas,Brown
331,332,Winston,26/03/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Jordan,Brown
